sample_idx,model,mean_attn,max_attn,attn_on_mask,attn_off_mask
0,M=7 pam,0.6174,1.0000,0.7899,0.6065
0,M=112 (global),0.4107,1.0000,0.3664,0.4135
1,M=7 pam,0.4668,1.0000,0.6031,0.4597
1,M=112 (global),0.4924,1.0000,0.3833,0.4980
2,M=7 pam,0.3659,1.0000,0.8256,0.3553
2,M=112 (global),0.4617,1.0000,0.4993,0.4608
3,M=7 pam,0.4275,1.0000,0.6903,0.4068
3,M=112 (global),0.3223,1.0000,0.3046,0.3237
4,M=7 pam,0.3425,1.0000,0.4120,0.3411
4,M=112 (global),0.3874,1.0000,0.4349,0.3864
5,M=7 pam,0.5058,1.0000,0.3494,0.5072
5,M=112 (global),0.4325,1.0000,0.3312,0.4334
6,M=7 pam,0.4386,1.0000,0.6388,0.3773
6,M=112 (global),0.4010,1.0000,0.3097,0.4289
7,M=7 pam,0.4753,1.0000,0.6395,0.4671
7,M=112 (global),0.4440,1.0000,0.2516,0.4536
8,M=7 pam,0.5166,1.0000,0.4929,0.5203
8,M=112 (global),0.3771,1.0000,0.2431,0.3979
9,M=7 pam,0.3821,1.0000,0.7930,0.3553
9,M=112 (global),0.4050,1.0000,0.2968,0.4120
