[22:13:12.335] Namespace(root_path='../data/Synapse/train_npz', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_iterations=30000, max_epochs=300, batch_size=24, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, n_skip=3, vit_name='R50-ViT-B_16', vit_patches_size=16, window_size=7, rank=32, groups=8, disable_gate=False, val_interval=15, is_pretrain=True, exp='AdaDA_Synapse224')
[22:13:12.344] 93 iterations per epoch. 27900 max iterations 
[22:15:17.707] Namespace(root_path='../data/Synapse/train_npz', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_iterations=30000, max_epochs=300, batch_size=24, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, n_skip=3, vit_name='R50-ViT-B_16', vit_patches_size=16, window_size=7, rank=32, groups=8, disable_gate=False, val_interval=15, is_pretrain=True, exp='AdaDA_Synapse224')
[22:15:17.714] 93 iterations per epoch. 27900 max iterations 
[22:17:36.981] epoch 1/300  loss: 0.5445  loss_ce: 0.3035  lr: 0.009970  elapsed: 0.04h
[22:19:54.917] epoch 2/300  loss: 0.3934  loss_ce: 0.1040  lr: 0.009940  elapsed: 0.08h
[22:22:12.853] epoch 3/300  loss: 0.3490  loss_ce: 0.0834  lr: 0.009910  elapsed: 0.12h
[22:24:31.071] epoch 4/300  loss: 0.3177  loss_ce: 0.0727  lr: 0.009880  elapsed: 0.15h
[22:26:49.456] epoch 5/300  loss: 0.2885  loss_ce: 0.0629  lr: 0.009850  elapsed: 0.19h
[22:29:07.812] epoch 6/300  loss: 0.2284  loss_ce: 0.0573  lr: 0.009820  elapsed: 0.23h
[22:31:26.125] epoch 7/300  loss: 0.1765  loss_ce: 0.0529  lr: 0.009790  elapsed: 0.27h
[22:33:44.293] epoch 8/300  loss: 0.1552  loss_ce: 0.0444  lr: 0.009760  elapsed: 0.31h
[22:36:02.375] epoch 9/300  loss: 0.1287  loss_ce: 0.0377  lr: 0.009730  elapsed: 0.35h
[22:38:20.861] epoch 10/300  loss: 0.1196  loss_ce: 0.0349  lr: 0.009700  elapsed: 0.38h
[22:40:38.794] epoch 11/300  loss: 0.1142  loss_ce: 0.0326  lr: 0.009670  elapsed: 0.42h
[22:42:56.707] epoch 12/300  loss: 0.1053  loss_ce: 0.0291  lr: 0.009640  elapsed: 0.46h
[22:45:14.740] epoch 13/300  loss: 0.0966  loss_ce: 0.0271  lr: 0.009609  elapsed: 0.50h
[22:47:32.703] epoch 14/300  loss: 0.0905  loss_ce: 0.0254  lr: 0.009579  elapsed: 0.54h
[22:49:50.605] epoch 15/300  loss: 0.0846  loss_ce: 0.0237  lr: 0.009549  elapsed: 0.58h
[23:12:34.910] epoch 15 val_dice: 0.7057  best: 0.0000
[23:12:35.463] => best model saved (DSC 0.7057)
[23:14:52.639] epoch 16/300  loss: 0.0788  loss_ce: 0.0219  lr: 0.009519  elapsed: 0.61h
[23:17:10.199] epoch 17/300  loss: 0.0835  loss_ce: 0.0231  lr: 0.009489  elapsed: 0.65h
[23:19:28.505] epoch 18/300  loss: 0.0721  loss_ce: 0.0214  lr: 0.009459  elapsed: 0.69h
[23:21:46.552] epoch 19/300  loss: 0.0714  loss_ce: 0.0199  lr: 0.009428  elapsed: 0.73h
[23:24:04.911] epoch 20/300  loss: 0.0716  loss_ce: 0.0199  lr: 0.009398  elapsed: 0.77h
[23:26:23.343] epoch 21/300  loss: 0.0671  loss_ce: 0.0186  lr: 0.009368  elapsed: 0.81h
[23:28:41.338] epoch 22/300  loss: 0.0698  loss_ce: 0.0193  lr: 0.009338  elapsed: 0.84h
[23:30:59.646] epoch 23/300  loss: 0.0723  loss_ce: 0.0192  lr: 0.009308  elapsed: 0.88h
[23:33:17.392] epoch 24/300  loss: 0.0692  loss_ce: 0.0184  lr: 0.009277  elapsed: 0.92h
[23:35:35.322] epoch 25/300  loss: 0.0621  loss_ce: 0.0172  lr: 0.009247  elapsed: 0.96h
[23:37:53.368] epoch 26/300  loss: 0.0604  loss_ce: 0.0167  lr: 0.009217  elapsed: 1.00h
[23:40:11.758] epoch 27/300  loss: 0.0595  loss_ce: 0.0164  lr: 0.009187  elapsed: 1.04h
[23:42:29.997] epoch 28/300  loss: 0.0628  loss_ce: 0.0169  lr: 0.009156  elapsed: 1.07h
[23:44:47.632] epoch 29/300  loss: 0.0628  loss_ce: 0.0176  lr: 0.009126  elapsed: 1.11h
[23:47:05.627] epoch 30/300  loss: 0.0561  loss_ce: 0.0155  lr: 0.009096  elapsed: 1.15h
[00:09:40.335] epoch 30 val_dice: 0.7633  best: 0.7057
[00:09:41.273] => best model saved (DSC 0.7633)
[00:11:58.397] epoch 31/300  loss: 0.0753  loss_ce: 0.0189  lr: 0.009065  elapsed: 1.19h
[00:14:16.768] epoch 32/300  loss: 0.0565  loss_ce: 0.0157  lr: 0.009035  elapsed: 1.23h
[00:16:34.957] epoch 33/300  loss: 0.0515  loss_ce: 0.0148  lr: 0.009005  elapsed: 1.27h
[00:18:52.901] epoch 34/300  loss: 0.0573  loss_ce: 0.0152  lr: 0.008974  elapsed: 1.30h
[00:21:10.784] epoch 35/300  loss: 0.0557  loss_ce: 0.0144  lr: 0.008944  elapsed: 1.34h
[00:23:28.812] epoch 36/300  loss: 0.0508  loss_ce: 0.0141  lr: 0.008914  elapsed: 1.38h
[00:25:47.244] epoch 37/300  loss: 0.0518  loss_ce: 0.0144  lr: 0.008883  elapsed: 1.42h
[00:28:05.549] epoch 38/300  loss: 0.0493  loss_ce: 0.0135  lr: 0.008853  elapsed: 1.46h
[00:30:24.150] epoch 39/300  loss: 0.0509  loss_ce: 0.0132  lr: 0.008822  elapsed: 1.50h
[00:32:42.077] epoch 40/300  loss: 0.0495  loss_ce: 0.0130  lr: 0.008792  elapsed: 1.53h
[00:35:00.079] epoch 41/300  loss: 0.0543  loss_ce: 0.0151  lr: 0.008761  elapsed: 1.57h
[00:37:17.971] epoch 42/300  loss: 0.0472  loss_ce: 0.0132  lr: 0.008731  elapsed: 1.61h
[00:39:35.660] epoch 43/300  loss: 0.0441  loss_ce: 0.0130  lr: 0.008701  elapsed: 1.65h
[00:41:54.296] epoch 44/300  loss: 0.0464  loss_ce: 0.0130  lr: 0.008670  elapsed: 1.69h
[00:44:12.799] epoch 45/300  loss: 0.0446  loss_ce: 0.0128  lr: 0.008640  elapsed: 1.73h
[01:07:13.977] epoch 45 val_dice: 0.7793  best: 0.7633
[01:07:14.904] => best model saved (DSC 0.7793)
[01:09:32.324] epoch 46/300  loss: 0.0450  loss_ce: 0.0130  lr: 0.008609  elapsed: 1.77h
[01:11:50.273] epoch 47/300  loss: 0.0504  loss_ce: 0.0147  lr: 0.008579  elapsed: 1.80h
[01:14:08.277] epoch 48/300  loss: 0.0454  loss_ce: 0.0128  lr: 0.008548  elapsed: 1.84h
[01:16:26.111] epoch 49/300  loss: 0.0481  loss_ce: 0.0132  lr: 0.008518  elapsed: 1.88h
[01:18:44.679] epoch 50/300  loss: 0.0544  loss_ce: 0.0130  lr: 0.008487  elapsed: 1.92h
[01:21:03.006] epoch 51/300  loss: 0.0479  loss_ce: 0.0151  lr: 0.008456  elapsed: 1.96h
[01:23:21.005] epoch 52/300  loss: 0.0479  loss_ce: 0.0123  lr: 0.008426  elapsed: 2.00h
[01:25:39.249] epoch 53/300  loss: 0.0424  loss_ce: 0.0122  lr: 0.008395  elapsed: 2.03h
[01:27:57.384] epoch 54/300  loss: 0.0423  loss_ce: 0.0120  lr: 0.008365  elapsed: 2.07h
[01:30:15.619] epoch 55/300  loss: 0.0420  loss_ce: 0.0112  lr: 0.008334  elapsed: 2.11h
